Glottocode,split.Pro.1.incl.excl,split.Pro.3.human,split.Pro.3.animate,split.DEM.human,split.DEM.animate,split.N.kin,split.N.human,split.N.animate
xava1240,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
xere1240,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
xing1248,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
yakk1236,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
yamp1242,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
yane1238,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
yape1248,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
yavi1244,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
yawa1261,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
yine1238,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
yoku1256,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
yort1237,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
